#s_m,x_m,y_m, psi_rad, kappa_radpm,vx_mps, ax_mps2,heading,ld_m
107.5924646,-2.3298888,25.7393064,1.4046528,0.1722596,5.5190133,-0.735946,1.4216775025816537,0.6
107.7924506,-2.300177,25.9370765,1.4385031,0.1662854,5.4922809,-0.4909972,1.4549372691336786,0.6
107.9924366,-2.2770599,26.1357107,1.4711796,0.160528,5.4743735,-0.2721028,1.4870426839143696,0.6
108.1924226,-2.2603308,26.3349852,1.502718,0.1549081,5.4644241,-0.0792153,1.518025648640317,0.6
108.3924085,-2.249782,26.5346985,1.5331523,0.1494704,5.4615243,0.090104,1.5479200940806306,0.6
108.5923945,-2.2452079,26.7346135,1.5625118,0.1441787,5.4648226,0.2402291,1.5767557359834188,0.6
108.7923805,-2.2463997,26.9345974,1.5908271,0.1390059,5.4736068,0.374643,1.6045580949086602,0.6
108.9923665,-2.25315,27.1344606,1.6181211,0.1339758,5.4872778,0.4948151,1.63135229005297,0.6
109.1923525,-2.2652525,27.3340727,1.6444184,0.1290329,5.505282,0.6043245,1.6571590635117643,0.6
109.3923385,-2.2825027,27.5333171,1.6697386,0.1241967,5.5271913,0.7040866,1.6819983273786185,0.6
109.5923245,-2.3046942,27.7320541,1.6941,0.1194545,5.5526082,0.7958071,1.7058886342217334,0.6
109.7923105,-2.3316289,27.9302197,1.7175212,0.1147791,5.5811969,0.8814354,1.7288443879386368,0.6
109.9922965,-2.3631038,28.1277064,1.7400152,0.1101938,5.6126917,0.9611533,1.7508823104989486,0.6
110.1922825,-2.3989232,28.3244532,1.7615982,0.1056609,5.6468347,1.0369701,1.7720144899730497,0.6
110.3922685,-2.4388938,28.5204081,1.7822812,0.1011894,5.683441,1.1092586,1.7922514937490817,0.6
110.5922545,-2.4828183,28.7154999,1.8020752,0.0967767,5.7223399,1.1786886,1.8116065156264993,0.6
110.7922405,-2.5305134,28.9097175,1.8209914,0.0924003,5.7633858,1.2465193,1.8300861599757223,0.6
110.9922265,-2.5817875,29.1030141,1.839037,0.088079,5.8064782,1.3125512,1.8477011055092927,0.6
111.1922125,-2.6364587,29.2953787,1.856222,0.083788,5.8515103,1.3780355,1.8644581551463284,0.6
